query,tenant,reference_debit_note_number,ogPdi,ogInvoiceId,ogInvoiceNo,correctPdi
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7423 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,52958,3095911007,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7424 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,1772,1010838509,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7425 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,6977,2003515808,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7426 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,37673,1010843974,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7427 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,2604,3095909381,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7428 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,7322,2003517645,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7429 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5248,1010833271,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7430 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,16612,4707207917,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7431 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5219,1010830445,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7432 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5058,1010824801,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7433 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,38855,2003450106,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7434 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,7917,1010837600,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7435 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5433,1010835931,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7436 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5278,1010831302,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7437 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,1996,3095908690,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7438 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5656,1010822412,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7439 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,5529,1010830731,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7440 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,58376,2176560338.,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7441 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,55133,3095923015,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7442 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,51480,1010818146,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7443 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,55672,2176552410,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7444 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,58157,2176560154,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7445 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,59263,2176562400,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7446 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,51688,3095912085,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7447 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,59247,2176562096,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7448 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,58103,2176560179,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7449 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,38856,2003455349,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7450 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,37215,1010796343,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7451 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,58652,2176561326,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7452 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,58651,2176561249,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7453 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,58069,2176559962,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7454 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,29947,56319,2176554877,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7455 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,69656,52645,BI2319,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7456 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,5658,59453,MG/000014,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7457 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,5658,58646,LOC/001786,29947
"UPDATE th400.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7458 AND reference_debit_note_number = 'DR0402-25A000272' AND status = 'DISPATCH_READY';",th400,DR0402-25A000272,38178,60118,25-26/02295,29947
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7584 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,26011,251011482493,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7585 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,25834,251011482208,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7586 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,25961,251011482314,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7587 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,26597,251011482740,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7588 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,26275,251011482630,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7589 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,26277,251011482662,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7590 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91666,26650,251011482907,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7591 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91265,8971,61725OR2GS01535,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7592 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,45426,21794,HUL77424,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7593 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,45426,25457,HUL59920,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7594 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,91265,25589,61725OR2GS01756,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7595 AND reference_debit_note_number = 'DR0224-25A000727' AND status = 'DISPATCH_READY';",th437,DR0224-25A000727,45426,21546,HUL55321,91666
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7596 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25198,6110086172,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7597 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25093,6110078422,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7598 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11718,6110076344,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7599 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25367,6110073960,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7600 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,10557,6110067096,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7601 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12373,6110090864,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7602 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25462,6110076810,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7603 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25171,6110080204,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7604 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,10111,6110070180,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7605 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25499,6110071813,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7606 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25360,6110061816,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7607 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25079,6110053122,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7608 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12229,6110059333,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7609 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25301,6110088155,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7610 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,9925,6110066618,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7611 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11707,6110082063,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7612 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25419,6110045749,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7613 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12385,6110057840,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7614 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25395,6110040777,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7615 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12033,6110090868,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7616 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25474,6110094723,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7617 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25538,6110041276,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7618 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12313,6110092193,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7619 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25097,6110075900,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7620 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25488,6110069365,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7621 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25406,6110067196,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7622 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11768,6110082064,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7623 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12338,6110093278,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7624 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11674,6110078850,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7625 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11893,6110076811,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7626 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,10155,6110067346,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7627 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25433,6110050432,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7628 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12343,6110092801,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7629 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11518,6110078834,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7630 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12176,6110089115,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7631 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11806,6110085545,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7632 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12136,6110060826,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7633 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12279,6110090870,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7634 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25269,6110095404,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7635 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12315,6110088153,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7636 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,12129,6110095497,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7637 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11170,6110108916,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7638 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11914,6110103445,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7639 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11663,6110096461,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7640 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,10966,6110114494,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7641 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25140,6110111089,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7642 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11410,6110109378,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7643 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,11382,6110114349,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7644 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25149,6110114493,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7645 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25511,6110113053,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7646 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,24589,6110098197,91312
"UPDATE th437.purchase_issue SET updated_on = NOW(), status = 'CANCELLED' WHERE id = 7647 AND reference_debit_note_number = 'DR0224-25A000514' AND status = 'DISPATCH_READY';",th437,DR0224-25A000514,91312,25447,6110051622,91312
