purchase_issue_id,source_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
45935,th413,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45935 AND invoice_id = 42074 AND invoice_no = 'DR0417-25A000089';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45935 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37902 AND tenant = 'th413';",
45936,th413,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45936 AND invoice_id = 42074 AND invoice_no = 'DR0417-25A000089';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45936 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37902 AND tenant = 'th413';",
45937,th413,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45937 AND invoice_id = 41737 AND invoice_no = 'DR0407-25A000003';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45937 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37886 AND tenant = 'th413';",
45938,th413,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45938 AND invoice_id = 41846 AND invoice_no = 'DR0425-25A000010';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45938 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37923 AND tenant = 'th413';",
46067,th413,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 46067 AND invoice_id = 43745 AND invoice_no = 'DR0401-25A000023';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 46067 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 31162 AND tenant = 'th413';",
12611,th421,"UPDATE th421.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 12611 AND invoice_id = 18521 AND invoice_no = 'SB-24-4439';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 12611 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th421';",
14438,th421,"UPDATE th421.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 14438 AND invoice_id = 20264 AND invoice_no = 'SB-24-6780';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 14438 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th421';",DELETE FROM th421.purchase_issue_invoice WHERE purchase_issue_id = 14438;
28636,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28636 AND invoice_id = 46594 AND invoice_no = 'PD0405-25A000371';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28636 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37882 AND tenant = 'th409';",
28637,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28637 AND invoice_id = 46497 AND invoice_no = 'PD0224-25A004157';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28637 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th409';",
28671,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28671 AND invoice_id = 46497 AND invoice_no = 'PD0224-25A004157';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28671 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th409';",
28708,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28708 AND invoice_id = 46401 AND invoice_no = 'PD0413-25A003093';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28708 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th409';",
28836,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28836 AND invoice_id = 47093 AND invoice_no = 'PD0406-25A000683';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28836 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37884 AND tenant = 'th409';",
28845,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28845 AND invoice_id = 46401 AND invoice_no = 'PD0413-25A003093';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28845 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th409';",
28851,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 28851 AND invoice_id = 46401 AND invoice_no = 'PD0413-25A003093';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 28851 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th409';",
29124,th409,"UPDATE th409.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 29124 AND invoice_id = 47044 AND invoice_no = 'PD0424-25A000135';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 29124 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37928 AND tenant = 'th409';",
14709,th418,"UPDATE th418.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 14709 AND invoice_id = 17827 AND invoice_no = 'T0418-24A0000177';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 14709 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th418';",
14720,th418,"UPDATE th418.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 14720 AND invoice_id = 21018 AND invoice_no = 'T0214-24A0012516';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 14720 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th418';",
95457,th401,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 95457 AND invoice_id = 54961 AND invoice_no = 'T0214-25A0013431';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 95457 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th401';",
4,th998,"UPDATE th998.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4 AND invoice_id = 18 AND invoice_no = 'SANITYINV2';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 8847 AND tenant = 'th998';",
5,th998,"UPDATE th998.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 5 AND invoice_id = 18 AND invoice_no = 'SANITYINV2';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 5 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 8847 AND tenant = 'th998';",
214,th999,"UPDATE th999.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 214 AND invoice_id = 417 AND invoice_no = 'TestProdSanity02';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 214 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 8847 AND tenant = 'th999';",
215,th999,"UPDATE th999.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 215 AND invoice_id = 419 AND invoice_no = 'TestProdSanity04';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 215 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 8847 AND tenant = 'th999';",
1491,th429,"UPDATE th429.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 1491 AND invoice_id = 100408 AND invoice_no = 'T0430-24A0000388';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 1491 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 56687 AND tenant = 'th429';",
1516,th429,"UPDATE th429.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 1516 AND invoice_id = 98953 AND invoice_no = 'T0430-24A0000241';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 1516 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 56687 AND tenant = 'th429';",
1573,th429,"UPDATE th429.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 1573 AND invoice_id = 91103 AND invoice_no = 'T0411-24A0007883';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 1573 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37916 AND tenant = 'th429';",
48828,th429,"UPDATE th429.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 48828 AND invoice_id = 124254 AND invoice_no = 'DR0413-25A000914';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 48828 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th429';",
51996,th429,"UPDATE th429.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 51996 AND invoice_id = 121573 AND invoice_no = 'EA-25-125939';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 51996 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 206328 AND tenant = 'th429';",
195166,th425,"UPDATE th425.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 195166 AND invoice_id = 101693 AND invoice_no = 'DR0224-25A000253';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 195166 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th425';",
196018,th425,"UPDATE th425.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 196018 AND invoice_id = 99419 AND invoice_no = 'PD0407-25A000562';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 196018 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37886 AND tenant = 'th425';",
200119,th425,"UPDATE th425.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 200119 AND invoice_id = 99383 AND invoice_no = 'DR0224-25A000187';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 200119 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th425';",
200195,th425,"UPDATE th425.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 200195 AND invoice_id = 96740 AND invoice_no = 'U0224-25A0000055';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 200195 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th425';",
200196,th425,"UPDATE th425.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 200196 AND invoice_id = 96740 AND invoice_no = 'U0224-25A0000055';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 200196 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th425';",
200203,th425,"UPDATE th425.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 200203 AND invoice_id = 101693 AND invoice_no = 'DR0224-25A000253';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 200203 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th425';",
548493,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 548493 AND invoice_id = 982380 AND invoice_no = 'T0213-24A0006326';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 548493 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
548497,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 548497 AND invoice_id = 982380 AND invoice_no = 'T0213-24A0006326';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 548497 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
650916,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 650916 AND invoice_id = 967002 AND invoice_no = '115/24/S/864';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 650916 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th214';",
652041,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 652041 AND invoice_id = 1031010 AND invoice_no = '100836-SR';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 652041 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th214';",
772804,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 772804 AND invoice_id = 1063784 AND invoice_no = 'SI/240468';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 772804 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
779315,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 779315 AND invoice_id = 993287 AND invoice_no = 'SC-24-1535637';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 779315 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 206328 AND tenant = 'th214';",
783765,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 783765 AND invoice_id = 980104 AND invoice_no = 'T0214-24A0009837';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 783765 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37902 AND tenant = 'th214';",
133013,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 133013 AND invoice_id = 165663 AND invoice_no = 'GN-91';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 133013 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
133351,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 133351 AND invoice_id = 166711 AND invoice_no = 'M033';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 133351 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",DELETE FROM th411.purchase_issue_invoice WHERE purchase_issue_id = 133351;
138379,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 138379 AND invoice_id = 129133 AND invoice_no = 'T0411-24A0001053';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 138379 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37879 AND tenant = 'th411';",
142223,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 142223 AND invoice_id = 169491 AND invoice_no = 'M095';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 142223 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
145983,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 145983 AND invoice_id = 169845 AND invoice_no = 'Y058';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 145983 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
146354,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 146354 AND invoice_id = 169988 AND invoice_no = 'Y059';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 146354 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
151958,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 151958 AND invoice_id = 171099 AND invoice_no = 'M115';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 151958 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",DELETE FROM th411.purchase_issue_invoice WHERE purchase_issue_id = 151958;
152771,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 152771 AND invoice_id = 174087 AND invoice_no = 'VS.2445';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 152771 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",DELETE FROM th411.purchase_issue_invoice WHERE purchase_issue_id = 152771;
153195,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 153195 AND invoice_id = 165992 AND invoice_no = 'A0400-25A0001346';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 153195 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
153197,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 153197 AND invoice_id = 165992 AND invoice_no = 'A0400-25A0001346';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 153197 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
153225,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 153225 AND invoice_id = 170170 AND invoice_no = 'A0400-25A0001970';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 153225 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",
154980,th411,"UPDATE th411.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 154980 AND invoice_id = 174507 AND invoice_no = 'sai654';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 154980 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37678 AND tenant = 'th411';",DELETE FROM th411.purchase_issue_invoice WHERE purchase_issue_id = 154980;
